Term ID,Group name,available
FMA:8887,Anterior branch of lateral cutaneous branch of left eighth intercostal nerve,
FMA:7305,Anterior branch of lateral cutaneous branch of left eleventh intercostal nerve,
FMA:7294,Anterior branch of lateral cutaneous branch of left fifth intercostal nerve,
FMA:7127,Anterior branch of lateral cutaneous branch of left fourth intercostal nerve,
FMA:8898,Anterior branch of lateral cutaneous branch of left ninth intercostal nerve,
FMA:8876,Anterior branch of lateral cutaneous branch of left seventh intercostal nerve,
FMA:8865,Anterior branch of lateral cutaneous branch of left sixth intercostal nerve,
FMA:11552,Anterior branch of lateral cutaneous branch of left subcostal nerve,
FMA:8909,Anterior branch of lateral cutaneous branch of left tenth intercostal nerve,
FMA:7116,Anterior branch of lateral cutaneous branch of left third intercostal nerve,
FMA:8886,Anterior branch of lateral cutaneous branch of right eighth intercostal nerve,
FMA:7304,Anterior branch of lateral cutaneous branch of right eleventh intercostal nerve,
FMA:7293,Anterior branch of lateral cutaneous branch of right fifth intercostal nerve,
FMA:7126,Anterior branch of lateral cutaneous branch of right fourth intercostal nerve,
FMA:8897,Anterior branch of lateral cutaneous branch of right ninth intercostal nerve,
FMA:8875,Anterior branch of lateral cutaneous branch of right seventh intercostal nerve,
FMA:8864,Anterior branch of lateral cutaneous branch of right sixth intercostal nerve,
FMA:11551,Anterior branch of lateral cutaneous branch of right subcostal nerve,
FMA:8908,Anterior branch of lateral cutaneous branch of right tenth intercostal nerve,
FMA:7115,Anterior branch of lateral cutaneous branch of right third intercostal nerve,
FMA:65314,Anterior branch of left medial cutaneous nerve of forearm,
FMA:45309,Anterior branch of left obturator nerve,
FMA:65313,Anterior branch of right medial cutaneous nerve of forearm,
FMA:45308,Anterior branch of right obturator nerve,
FMA:8883,Anterior cutaneous branch of left eighth intercostal nerve,"['FMA:8883', 'ILX:0790742']"
FMA:7301,Anterior cutaneous branch of left eleventh intercostal nerve,"['FMA:7301', 'ILX:0788209']"
FMA:7290,Anterior cutaneous branch of left fifth intercostal nerve,"['FMA:7290', 'ILX:0787642']"
FMA:8922,Anterior cutaneous branch of left first intercostal nerve,"['FMA:8922', 'ILX:0785658']"
FMA:7123,Anterior cutaneous branch of left fourth intercostal nerve,"['FMA:7123', 'ILX:0792330']"
FMA:20605,Anterior cutaneous branch of left iliohypogastric nerve,
FMA:8894,Anterior cutaneous branch of left ninth intercostal nerve,"['FMA:8894', 'ILX:0786167']"
FMA:7092,Anterior cutaneous branch of left second intercostal nerve,"['FMA:7092', 'ILX:0788761']"
FMA:8872,Anterior cutaneous branch of left seventh intercostal nerve,"['FMA:8872', 'ILX:0790269']"
FMA:8861,Anterior cutaneous branch of left sixth intercostal nerve,"['FMA:8861', 'ILX:0786968']"
FMA:8917,Anterior cutaneous branch of left subcostal nerve,
FMA:8905,Anterior cutaneous branch of left tenth intercostal nerve,"['FMA:8905', 'ILX:0792701']"
FMA:6149,Anterior cutaneous branch of left third intercostal nerve,"['FMA:6149', 'ILX:0792071']"
FMA:8882,Anterior cutaneous branch of right eighth intercostal nerve,"['FMA:8882', 'ILX:0785523']"
FMA:7300,Anterior cutaneous branch of right eleventh intercostal nerve,"['FMA:7300', 'ILX:0788497']"
FMA:7289,Anterior cutaneous branch of right fifth intercostal nerve,"['FMA:7289', 'ILX:0785138']"
FMA:6137,Anterior cutaneous branch of right first intercostal nerve,"['FMA:6137', 'ILX:0788117']"
FMA:7122,Anterior cutaneous branch of right fourth intercostal nerve,"['FMA:7122', 'ILX:0789497']"
FMA:20604,Anterior cutaneous branch of right iliohypogastric nerve,
FMA:8893,Anterior cutaneous branch of right ninth intercostal nerve,"['FMA:8893', 'ILX:0790052']"
FMA:6114,Anterior cutaneous branch of right second intercostal nerve,"['FMA:6114', 'ILX:0787801']"
FMA:8871,Anterior cutaneous branch of right seventh intercostal nerve,"['FMA:8871', 'ILX:0785264']"
FMA:8860,Anterior cutaneous branch of right sixth intercostal nerve,"['FMA:8860', 'ILX:0792714']"
FMA:8916,Anterior cutaneous branch of right subcostal nerve,
FMA:8904,Anterior cutaneous branch of right tenth intercostal nerve,"['FMA:8904', 'ILX:0788354']"
FMA:6155,Anterior cutaneous branch of right third intercostal nerve,"['FMA:6155', 'ILX:0791847']"
FMA:53535,Auricular branch of left vagus nerve,
FMA:53534,Auricular branch of right vagus nerve,
FMA:65371,Brachial plexus anterior division of left inferior trunk,
